"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","COUNTERPART_COUNTRY","FREQUENCY","SCALE","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"IMF.STA:IMTS(1.0.0)","JPN.XG_FOB_USD.AIA.A","OBS_VALUE","Japan","Exports of goods, Free on board (FOB), US dollar","Anguilla, United Kingdom-British Overseas Territory","Annual","Millions","","2.34514","2.859187","3.807762","1.921511","1.48574","2.467886","2.411944","2.655592"
"IMF.STA:IMTS(1.0.0)","JPN.MG_CIF_USD.BWA.A","OBS_VALUE","Japan","Imports of goods, Cost insurance freight (CIF), US dollar","Botswana","Annual","Millions","24.794884","23.366785","27.476822","30.944571","14.487164","95.046484","46.349032","22.513317","9.746402"
"IMF.STA:IMTS(1.0.0)","JPN.MG_CIF_USD.GNB.A","OBS_VALUE","Japan","Imports of goods, Cost insurance freight (CIF), US dollar","Guinea-Bissau","Annual","Millions","","0.002118","","","","","","1.237556","1.192177"
"IMF.STA:IMTS(1.0.0)","JPN.MG_CIF_USD.NAM.A","OBS_VALUE","Japan","Imports of goods, Cost insurance freight (CIF), US dollar","Namibia","Annual","Millions","8.80932","8.166097","12.613037","11.301089","12.512693","9.669656","15.177864","7.679377","6.083613"
"IMF.STA:IMTS(1.0.0)","JPN.MG_CIF_USD.BMU.A","OBS_VALUE","Japan","Imports of goods, Cost insurance freight (CIF), US dollar","Bermuda","Annual","Millions","0.027695","0.465538","0.036892","0.018769","0.012884","0.014721","0.026937","0.043849","0.008247"
"IMF.STA:IMTS(1.0.0)","JPN.MG_CIF_USD.LBR.A","OBS_VALUE","Japan","Imports of goods, Cost insurance freight (CIF), US dollar","Liberia","Annual","Millions","0.169852","0.760261","60.205719","133.418065","0.119025","2.47525","13.970008","0.034259","51.647159"
"IMF.STA:IMTS(1.0.0)","JPN.MG_CIF_USD.YEM.A","OBS_VALUE","Japan","Imports of goods, Cost insurance freight (CIF), US dollar","Yemen, Republic of","Annual","Millions","4.15896","2.915689","44.976609","3.936531","6.515299","6.397073","8.316315","5.865269","3.85242"
"IMF.STA:IMTS(1.0.0)","JPN.MG_CIF_USD.TUV.A","OBS_VALUE","Japan","Imports of goods, Cost insurance freight (CIF), US dollar","Tuvalu","Annual","Millions","2.028737","2.077738","2.245418","0.274415","0.851409","0.145354","0.608618","3.014571","0.041981"
"IMF.STA:IMTS(1.0.0)","JPN.XG_FOB_USD.AUT.A","OBS_VALUE","Japan","Exports of goods, Free on board (FOB), US dollar","Austria","Annual","Millions","1020.233899","1160.786549","1320.408262","1219.997184","1056.59414","1239.18713","1347.193727","1568.069871","1297.747099"
"IMF.STA:IMTS(1.0.0)","JPN.XG_FOB_USD.KNA.A","OBS_VALUE","Japan","Exports of goods, Free on board (FOB), US dollar","St. Kitts and Nevis","Annual","Millions","13.368114","7.736172","6.407844","9.438771","7.361657","3.55576","6.563146","7.521674","8.495831"
"IMF.STA:IMTS(1.0.0)","JPN.MG_CIF_USD.SUR.A","OBS_VALUE","Japan","Imports of goods, Cost insurance freight (CIF), US dollar","Suriname","Annual","Millions","6.491561","5.840005","6.660844","5.817866","4.174432","3.620713","4.884674","6.133204","4.489105"
"IMF.STA:IMTS(1.0.0)","JPN.MG_CIF_USD.BRB.A","OBS_VALUE","Japan","Imports of goods, Cost insurance freight (CIF), US dollar","Barbados","Annual","Millions","0.076099","0.067174","0.093756","0.158134","0.509312","0.125311","0.156383","0.166597","0.452834"
"IMF.STA:IMTS(1.0.0)","JPN.MG_CIF_USD.ERI.A","OBS_VALUE","Japan","Imports of goods, Cost insurance freight (CIF), US dollar","Eritrea, The State of","Annual","Millions","0.022289","0.019654","0.02632","","0.316703","0.05747","17.409214","0.042501","0.022591"
"IMF.STA:IMTS(1.0.0)","JPN.MG_CIF_USD.PRY.A","OBS_VALUE","Japan","Imports of goods, Cost insurance freight (CIF), US dollar","Paraguay","Annual","Millions","41.598627","58.511704","57.948176","30.904377","70.688057","59.902268","26.964067","35.390946","47.511419"
"IMF.STA:IMTS(1.0.0)","JPN.XG_FOB_USD.GNQ.A","OBS_VALUE","Japan","Exports of goods, Free on board (FOB), US dollar","Equatorial Guinea, Republic of","Annual","Millions","1.312558","0.653574","0.589831","0.367288","2.758381","0.663985","0.459753","8.141865","0.425128"
"IMF.STA:IMTS(1.0.0)","JPN.XG_FOB_USD.SDN.A","OBS_VALUE","Japan","Exports of goods, Free on board (FOB), US dollar","Sudan","Annual","Millions","49.70266","55.278752","39.760522","32.123965","37.571518","46.956003","53.291501","37.678155","50.139329"
"IMF.STA:IMTS(1.0.0)","JPN.XG_FOB_USD.MLT.A","OBS_VALUE","Japan","Exports of goods, Free on board (FOB), US dollar","Malta","Annual","Millions","482.422087","416.361229","684.406368","130.188796","116.252089","199.059155","237.819616","172.986066","114.472084"
"IMF.STA:IMTS(1.0.0)","JPN.MG_CIF_USD.TKM.A","OBS_VALUE","Japan","Imports of goods, Cost insurance freight (CIF), US dollar","Turkmenistan","Annual","Millions","0.108995","0.106413","0.196705","0.624637","0.07839","0.089623","0.174574","0.115119","0.197264"
"IMF.STA:IMTS(1.0.0)","JPN.XG_FOB_USD.CRI.A","OBS_VALUE","Japan","Exports of goods, Free on board (FOB), US dollar","Costa Rica","Annual","Millions","322.40838","308.924899","278.583043","250.451313","205.368923","306.480069","459.906676","481.484825","585.123744"
"IMF.STA:IMTS(1.0.0)","JPN.XG_FOB_USD.NOR.A","OBS_VALUE","Japan","Exports of goods, Free on board (FOB), US dollar","Norway","Annual","Millions","987.584476","937.800218","932.072126","978.822959","1007.461642","1012.68008","987.366651","891.222792","941.947268"
"IMF.STA:IMTS(1.0.0)","JPN.XG_FOB_USD.IRN.A","OBS_VALUE","Japan","Exports of goods, Free on board (FOB), US dollar","Iran, Islamic Republic of","Annual","Millions","584.261981","878.030512","702.239797","66.620438","76.434041","70.008221","50.813064","64.051924","88.572655"
"IMF.STA:IMTS(1.0.0)","JPN.TBG_USD.ERI.A","OBS_VALUE","Japan","Trade balance goods, US dollar","Eritrea, The State of","Annual","Millions","1.145223","2.854441","0.951031","0.947558","1.042305","0.983931","-17.022272","1.276536","0.18413"
"IMF.STA:IMTS(1.0.0)","JPN.XG_FOB_USD.ITA.A","OBS_VALUE","Japan","Exports of goods, Free on board (FOB), US dollar","Italy","Annual","Millions","4686.313004","4892.709521","4700.435941","4596.866137","3763.495954","5004.542411","5312.475815","6060.180173","5055.900529"
"IMF.STA:IMTS(1.0.0)","JPN.XG_FOB_USD.ZMB.A","OBS_VALUE","Japan","Exports of goods, Free on board (FOB), US dollar","Zambia","Annual","Millions","48.025074","50.917764","58.332139","44.698907","36.323558","66.922777","106.110776","119.02452","97.744637"
"IMF.STA:IMTS(1.0.0)","JPN.TBG_USD.SSD.A","OBS_VALUE","Japan","Trade balance goods, US dollar","South Sudan, Republic of","Annual","Millions","0.23249","1.092564","","3.397724","13.062939","-52.332739","-39.918325","10.027665","21.458345"
"IMF.STA:IMTS(1.0.0)","JPN.TBG_USD.MSR.A","OBS_VALUE","Japan","Trade balance goods, US dollar","Montserrat, United Kingdom-British Overseas Territory","Annual","Millions","","0.47251","","0.118914","0.261334","0.367057","0.276646","0.503197","0.665231"
